participant_id,group,task,week,evidence_quality_score,time_minutes,error_count
P029,Light-assisted workflow,Paper argumentation,2,62.59,81.75,3
P029,Light-assisted workflow,Paper argumentation,3,55.26,79.46,1
P029,Light-assisted workflow,Paper argumentation,4,64.29,64.9,3
P030,Baseline workflow,Literature mapping,0,53.15,69.23,4
P030,Baseline workflow,Literature mapping,1,57.96,79.27,3
P030,Baseline workflow,Literature mapping,2,64.06,64.39,1
P030,Baseline workflow,Literature mapping,3,69.86,46.66,4
P030,Baseline workflow,Literature mapping,4,77.45,56.48,1
P030,Baseline workflow,Experiment reproduction,0,38.18,98.9,4
P030,Baseline workflow,Experiment reproduction,1,58.19,92.46,2
P030,Baseline workflow,Experiment reproduction,2,54.28,83.9,2
P030,Baseline workflow,Experiment reproduction,3,60.01,75.52,3
P030,Baseline workflow,Experiment reproduction,4,69.4,86.66,2
P030,Baseline workflow,Paper argumentation,0,54.48,85.83,5
P030,Baseline workflow,Paper argumentation,1,55.15,78.22,5
P030,Baseline workflow,Paper argumentation,2,61.09,95.06,3
P030,Baseline workflow,Paper argumentation,3,61.1,56.86,5
P030,Baseline workflow,Paper argumentation,4,69.79,72.25,2
P031,Light-assisted workflow,Literature mapping,0,58.58,82.22,4
P031,Light-assisted workflow,Literature mapping,1,64.99,73.64,4
P031,Light-assisted workflow,Literature mapping,2,76.32,64.19,2
P031,Light-assisted workflow,Literature mapping,3,83.78,50.55,3
P031,Light-assisted workflow,Literature mapping,4,84.97,48.37,3
P031,Light-assisted workflow,Experiment reproduction,0,59.62,90.75,1
P031,Light-assisted workflow,Experiment reproduction,1,61.89,86.07,3
P031,Light-assisted workflow,Experiment reproduction,2,60.45,86.73,5
P031,Light-assisted workflow,Experiment reproduction,3,73.29,78.39,4
P031,Light-assisted workflow,Experiment reproduction,4,72.86,89.71,1
P031,Light-assisted workflow,Paper argumentation,0,58.87,84.88,4
P031,Light-assisted workflow,Paper argumentation,1,61.03,74.07,1
P031,Light-assisted workflow,Paper argumentation,2,65.68,75.95,5
P031,Light-assisted workflow,Paper argumentation,3,69.19,65.0,1
P031,Light-assisted workflow,Paper argumentation,4,80.67,63.68,2
P032,Baseline workflow,Literature mapping,0,54.58,79.47,4
P032,Baseline workflow,Literature mapping,1,58.49,59.87,3
P032,Baseline workflow,Literature mapping,2,59.15,69.24,0
P032,Baseline workflow,Literature mapping,3,67.78,58.86,4
P032,Baseline workflow,Literature mapping,4,63.38,52.16,1
P032,Baseline workflow,Experiment reproduction,0,45.0,83.56,7
P032,Baseline workflow,Experiment reproduction,1,45.76,104.7,3
P032,Baseline workflow,Experiment reproduction,2,51.4,92.56,3
P032,Baseline workflow,Experiment reproduction,3,51.27,93.82,7
P032,Baseline workflow,Experiment reproduction,4,64.67,75.06,0
P032,Baseline workflow,Paper argumentation,0,46.4,94.28,4
P032,Baseline workflow,Paper argumentation,1,50.77,93.33,3
P032,Baseline workflow,Paper argumentation,2,56.69,78.8,4
P032,Baseline workflow,Paper argumentation,3,55.38,78.34,2
P032,Baseline workflow,Paper argumentation,4,65.21,80.67,1
P033,Baseline workflow,Literature mapping,0,78.39,69.32,8
P033,Baseline workflow,Literature mapping,1,78.75,69.99,2
P033,Baseline workflow,Literature mapping,2,80.7,65.22,1
P033,Baseline workflow,Literature mapping,3,83.64,56.32,2
P033,Baseline workflow,Literature mapping,4,87.15,55.65,3
P033,Baseline workflow,Experiment reproduction,0,71.63,88.61,2
P033,Baseline workflow,Experiment reproduction,1,73.27,90.6,4
P033,Baseline workflow,Experiment reproduction,2,78.75,77.61,0
P033,Baseline workflow,Experiment reproduction,3,82.61,76.58,4
P033,Baseline workflow,Experiment reproduction,4,90.04,78.6,4
P033,Baseline workflow,Paper argumentation,0,71.69,89.5,5
P033,Baseline workflow,Paper argumentation,1,71.17,87.54,5
P033,Baseline workflow,Paper argumentation,2,81.15,67.57,3
P033,Baseline workflow,Paper argumentation,3,88.45,57.13,4
P033,Baseline workflow,Paper argumentation,4,89.7,57.22,2
P034,Baseline workflow,Literature mapping,0,55.01,81.26,2
P034,Baseline workflow,Literature mapping,1,60.16,74.93,4
P034,Baseline workflow,Literature mapping,2,54.21,75.03,3
P034,Baseline workflow,Literature mapping,3,68.14,74.08,4
P034,Baseline workflow,Literature mapping,4,68.69,59.92,3
P034,Baseline workflow,Experiment reproduction,0,48.75,97.54,7
P034,Baseline workflow,Experiment reproduction,1,55.52,86.32,8
P034,Baseline workflow,Experiment reproduction,2,61.46,88.87,1
P034,Baseline workflow,Experiment reproduction,3,72.54,92.45,4
P034,Baseline workflow,Experiment reproduction,4,66.3,81.91,1
P034,Baseline workflow,Paper argumentation,0,41.99,88.03,4
P034,Baseline workflow,Paper argumentation,1,53.18,80.55,4
P034,Baseline workflow,Paper argumentation,2,54.65,81.85,3
P034,Baseline workflow,Paper argumentation,3,59.88,66.55,2
P034,Baseline workflow,Paper argumentation,4,55.6,74.72,4
P035,Baseline workflow,Literature mapping,0,63.36,77.32,7
P035,Baseline workflow,Literature mapping,1,68.29,69.63,3
P035,Baseline workflow,Literature mapping,2,68.91,68.63,1
P035,Baseline workflow,Literature mapping,3,77.79,63.04,6
P035,Baseline workflow,Literature mapping,4,83.18,63.74,2
P035,Baseline workflow,Experiment reproduction,0,60.76,90.0,6
P035,Baseline workflow,Experiment reproduction,1,67.91,87.0,1
P035,Baseline workflow,Experiment reproduction,2,65.15,90.62,2
P035,Baseline workflow,Experiment reproduction,3,71.61,71.45,4
P035,Baseline workflow,Experiment reproduction,4,73.41,71.2,5
P035,Baseline workflow,Paper argumentation,0,57.54,80.76,7
P035,Baseline workflow,Paper argumentation,1,63.03,73.14,1
P035,Baseline workflow,Paper argumentation,2,69.39,69.74,8
P035,Baseline workflow,Paper argumentation,3,75.93,72.09,4
P035,Baseline workflow,Paper argumentation,4,71.49,66.01,4
P036,Light-assisted workflow,Literature mapping,0,65.29,67.04,0
P036,Light-assisted workflow,Literature mapping,1,63.57,75.08,6
P036,Light-assisted workflow,Literature mapping,2,77.26,57.38,5
P036,Light-assisted workflow,Literature mapping,3,81.16,46.77,1
P036,Light-assisted workflow,Literature mapping,4,89.02,42.49,4
P036,Light-assisted workflow,Experiment reproduction,0,59.75,94.05,5
P036,Light-assisted workflow,Experiment reproduction,1,62.61,80.16,6
P036,Light-assisted workflow,Experiment reproduction,2,68.03,68.7,3
P036,Light-assisted workflow,Experiment reproduction,3,75.39,70.93,5
P036,Light-assisted workflow,Experiment reproduction,4,80.69,74.7,7
P036,Light-assisted workflow,Paper argumentation,0,58.08,92.47,4
P036,Light-assisted workflow,Paper argumentation,1,64.44,67.1,2
P036,Light-assisted workflow,Paper argumentation,2,73.56,70.23,2
P036,Light-assisted workflow,Paper argumentation,3,69.8,70.99,6
P036,Light-assisted workflow,Paper argumentation,4,73.1,74.69,4
P037,Baseline workflow,Literature mapping,0,51.18,70.47,4
P037,Baseline workflow,Literature mapping,1,60.08,75.69,2
P037,Baseline workflow,Literature mapping,2,57.08,69.85,4
P037,Baseline workflow,Literature mapping,3,66.09,59.81,5
P037,Baseline workflow,Literature mapping,4,64.65,60.4,1
P037,Baseline workflow,Experiment reproduction,0,52.8,84.42,6
P037,Baseline workflow,Experiment reproduction,1,55.72,96.12,2
P037,Baseline workflow,Experiment reproduction,2,57.91,86.2,5
P037,Baseline workflow,Experiment reproduction,3,62.9,81.68,4
P037,Baseline workflow,Experiment reproduction,4,71.11,77.1,2
P037,Baseline workflow,Paper argumentation,0,43.74,85.71,4
P037,Baseline workflow,Paper argumentation,1,53.72,83.57,2
P037,Baseline workflow,Paper argumentation,2,54.93,80.94,4
P037,Baseline workflow,Paper argumentation,3,63.18,72.51,1
P037,Baseline workflow,Paper argumentation,4,70.29,80.53,1
P038,Light-assisted workflow,Literature mapping,0,57.35,72.03,4
P038,Light-assisted workflow,Literature mapping,1,56.74,74.33,8
P038,Light-assisted workflow,Literature mapping,2,67.17,60.83,3
P038,Light-assisted workflow,Literature mapping,3,75.0,63.52,2
P038,Light-assisted workflow,Literature mapping,4,81.22,59.07,1
P038,Light-assisted workflow,Experiment reproduction,0,59.11,91.96,1
P038,Light-assisted workflow,Experiment reproduction,1,60.53,89.79,2
P038,Light-assisted workflow,Experiment reproduction,2,63.63,87.37,4
P038,Light-assisted workflow,Experiment reproduction,3,74.57,81.24,1
P038,Light-assisted workflow,Experiment reproduction,4,69.4,72.68,0
P038,Light-assisted workflow,Paper argumentation,0,59.91,74.53,5
P038,Light-assisted workflow,Paper argumentation,1,64.14,71.1,2
P038,Light-assisted workflow,Paper argumentation,2,61.07,70.52,4
P038,Light-assisted workflow,Paper argumentation,3,66.35,67.1,3
P038,Light-assisted workflow,Paper argumentation,4,82.7,67.75,1
P039,Baseline workflow,Literature mapping,0,68.34,66.43,3
P039,Baseline workflow,Literature mapping,1,66.34,68.62,4
P039,Baseline workflow,Literature mapping,2,67.88,68.88,1
P039,Baseline workflow,Literature mapping,3,71.8,69.01,3
P039,Baseline workflow,Literature mapping,4,80.85,61.05,4
P039,Baseline workflow,Experiment reproduction,0,63.13,96.46,7
P039,Baseline workflow,Experiment reproduction,1,62.28,83.23,3
P039,Baseline workflow,Experiment reproduction,2,61.01,99.66,3
P039,Baseline workflow,Experiment reproduction,3,73.91,69.3,3
P039,Baseline workflow,Experiment reproduction,4,66.73,65.94,5
P039,Baseline workflow,Paper argumentation,0,60.28,88.92,3
P039,Baseline workflow,Paper argumentation,1,66.48,76.57,3
P039,Baseline workflow,Paper argumentation,2,66.55,76.51,3
P039,Baseline workflow,Paper argumentation,3,74.85,66.83,7
P039,Baseline workflow,Paper argumentation,4,75.4,72.83,3
P040,Baseline workflow,Literature mapping,0,68.65,67.88,4
P040,Baseline workflow,Literature mapping,1,68.23,52.76,1
P040,Baseline workflow,Literature mapping,2,65.07,65.02,3
P040,Baseline workflow,Literature mapping,3,83.79,60.58,1
P040,Baseline workflow,Literature mapping,4,82.24,64.91,3
P040,Baseline workflow,Experiment reproduction,0,62.2,90.67,1
P040,Baseline workflow,Experiment reproduction,1,63.4,93.98,7
P040,Baseline workflow,Experiment reproduction,2,70.25,100.37,4
P040,Baseline workflow,Experiment reproduction,3,81.28,78.82,2
P040,Baseline workflow,Experiment reproduction,4,81.26,86.62,2
P040,Baseline workflow,Paper argumentation,0,58.55,88.58,2
P040,Baseline workflow,Paper argumentation,1,69.91,80.03,2
P040,Baseline workflow,Paper argumentation,2,67.1,82.8,3
P040,Baseline workflow,Paper argumentation,3,74.02,71.88,2
P040,Baseline workflow,Paper argumentation,4,81.72,61.61,1
P041,Baseline workflow,Literature mapping,0,47.41,73.5,6
P041,Baseline workflow,Literature mapping,1,53.03,78.38,3
P041,Baseline workflow,Literature mapping,2,52.76,71.64,2
P041,Baseline workflow,Literature mapping,3,57.94,64.22,3
P041,Baseline workflow,Literature mapping,4,71.49,70.65,2
P041,Baseline workflow,Experiment reproduction,0,52.0,98.01,3
P041,Baseline workflow,Experiment reproduction,1,49.16,88.93,6
P041,Baseline workflow,Experiment reproduction,2,56.09,97.03,5
P041,Baseline workflow,Experiment reproduction,3,62.12,98.93,1
P041,Baseline workflow,Experiment reproduction,4,62.21,79.33,0
P041,Baseline workflow,Paper argumentation,0,56.83,78.76,2
P041,Baseline workflow,Paper argumentation,1,60.52,87.04,4
P041,Baseline workflow,Paper argumentation,2,58.7,78.55,3
P041,Baseline workflow,Paper argumentation,3,66.18,84.48,6
P041,Baseline workflow,Paper argumentation,4,64.5,64.85,3
P042,Light-assisted workflow,Literature mapping,0,52.0,74.11,4
P042,Light-assisted workflow,Literature mapping,1,62.94,62.07,1
P042,Light-assisted workflow,Literature mapping,2,68.36,70.21,2
P042,Light-assisted workflow,Literature mapping,3,72.79,55.25,3
P042,Light-assisted workflow,Literature mapping,4,72.3,58.21,2
P042,Light-assisted workflow,Experiment reproduction,0,46.66,99.95,1
P042,Light-assisted workflow,Experiment reproduction,1,52.8,94.12,3
P042,Light-assisted workflow,Experiment reproduction,2,55.79,81.48,5
P042,Light-assisted workflow,Experiment reproduction,3,58.7,84.76,0
P042,Light-assisted workflow,Experiment reproduction,4,70.88,67.36,0
P042,Light-assisted workflow,Paper argumentation,0,44.39,85.43,3
P042,Light-assisted workflow,Paper argumentation,1,48.12,92.98,4
P042,Light-assisted workflow,Paper argumentation,2,63.34,67.22,4
P042,Light-assisted workflow,Paper argumentation,3,62.15,69.85,3
P042,Light-assisted workflow,Paper argumentation,4,64.54,62.23,3
P043,Baseline workflow,Literature mapping,0,60.76,69.0,3
P043,Baseline workflow,Literature mapping,1,52.96,62.25,3
P043,Baseline workflow,Literature mapping,2,59.85,67.23,3
P043,Baseline workflow,Literature mapping,3,72.4,54.91,2
P043,Baseline workflow,Literature mapping,4,76.98,57.24,3
P043,Baseline workflow,Experiment reproduction,0,50.62,95.24,4
P043,Baseline workflow,Experiment reproduction,1,63.4,86.85,1
P043,Baseline workflow,Experiment reproduction,2,61.69,92.71,4
P043,Baseline workflow,Experiment reproduction,3,67.82,76.24,0
P043,Baseline workflow,Experiment reproduction,4,76.65,78.57,1
P043,Baseline workflow,Paper argumentation,0,58.7,88.75,5
P043,Baseline workflow,Paper argumentation,1,61.65,81.13,2
P043,Baseline workflow,Paper argumentation,2,64.02,71.31,4
P043,Baseline workflow,Paper argumentation,3,79.84,75.58,2
P043,Baseline workflow,Paper argumentation,4,69.77,65.18,0
P044,Light-assisted workflow,Literature mapping,0,49.09,81.38,6
P044,Light-assisted workflow,Literature mapping,1,57.1,60.19,3
P044,Light-assisted workflow,Literature mapping,2,59.03,58.69,3
P044,Light-assisted workflow,Literature mapping,3,72.96,58.35,2
P044,Light-assisted workflow,Literature mapping,4,72.44,53.3,2
P044,Light-assisted workflow,Experiment reproduction,0,54.3,96.55,2
P044,Light-assisted workflow,Experiment reproduction,1,52.05,99.21,4
P044,Light-assisted workflow,Experiment reproduction,2,57.35,81.34,3
P044,Light-assisted workflow,Experiment reproduction,3,64.02,80.55,0
P044,Light-assisted workflow,Experiment reproduction,4,68.52,75.63,1
P044,Light-assisted workflow,Paper argumentation,0,48.52,89.54,3
P044,Light-assisted workflow,Paper argumentation,1,55.11,76.98,2
P044,Light-assisted workflow,Paper argumentation,2,55.93,72.56,2
P044,Light-assisted workflow,Paper argumentation,3,57.44,76.81,3
P044,Light-assisted workflow,Paper argumentation,4,65.71,67.22,2
P045,Baseline workflow,Literature mapping,0,52.58,77.33,2
P045,Baseline workflow,Literature mapping,1,64.04,70.09,3
P045,Baseline workflow,Literature mapping,2,71.05,73.21,4
P045,Baseline workflow,Literature mapping,3,69.56,68.6,8
P045,Baseline workflow,Literature mapping,4,82.69,60.19,3
P045,Baseline workflow,Experiment reproduction,0,60.47,90.84,7
P045,Baseline workflow,Experiment reproduction,1,57.57,75.9,0
P045,Baseline workflow,Experiment reproduction,2,66.18,90.48,3
P045,Baseline workflow,Experiment reproduction,3,67.6,80.07,0
P045,Baseline workflow,Experiment reproduction,4,78.53,82.12,1
P045,Baseline workflow,Paper argumentation,0,61.97,94.97,6
P045,Baseline workflow,Paper argumentation,1,58.0,81.84,4
P045,Baseline workflow,Paper argumentation,2,67.92,67.51,5
P045,Baseline workflow,Paper argumentation,3,67.95,71.81,1
P045,Baseline workflow,Paper argumentation,4,74.39,67.03,1
P046,Light-assisted workflow,Literature mapping,0,56.33,73.26,5
P046,Light-assisted workflow,Literature mapping,1,63.87,66.37,8
P046,Light-assisted workflow,Literature mapping,2,68.6,54.69,3
P046,Light-assisted workflow,Literature mapping,3,73.77,52.31,0
P046,Light-assisted workflow,Literature mapping,4,78.83,49.14,2
P046,Light-assisted workflow,Experiment reproduction,0,57.01,87.98,1
P046,Light-assisted workflow,Experiment reproduction,1,55.79,87.88,4
P046,Light-assisted workflow,Experiment reproduction,2,66.29,78.75,5
P046,Light-assisted workflow,Experiment reproduction,3,71.06,75.25,7
P046,Light-assisted workflow,Experiment reproduction,4,77.06,74.65,3
P046,Light-assisted workflow,Paper argumentation,0,44.9,91.17,2
P046,Light-assisted workflow,Paper argumentation,1,59.31,74.09,2
P046,Light-assisted workflow,Paper argumentation,2,66.25,82.9,5
P046,Light-assisted workflow,Paper argumentation,3,65.99,72.13,1
P046,Light-assisted workflow,Paper argumentation,4,80.44,60.92,3
P047,Baseline workflow,Literature mapping,0,53.68,72.34,5
P047,Baseline workflow,Literature mapping,1,56.09,69.04,4
P047,Baseline workflow,Literature mapping,2,55.88,65.27,4
P047,Baseline workflow,Literature mapping,3,59.14,72.03,4
P047,Baseline workflow,Literature mapping,4,66.02,60.43,3
P047,Baseline workflow,Experiment reproduction,0,49.57,91.85,2
P047,Baseline workflow,Experiment reproduction,1,49.49,86.94,6
P047,Baseline workflow,Experiment reproduction,2,58.51,96.62,7
P047,Baseline workflow,Experiment reproduction,3,63.92,77.91,1
P047,Baseline workflow,Experiment reproduction,4,61.65,79.31,6
P047,Baseline workflow,Paper argumentation,0,48.78,81.91,3
P047,Baseline workflow,Paper argumentation,1,49.16,82.1,5
P047,Baseline workflow,Paper argumentation,2,58.76,75.27,7
P047,Baseline workflow,Paper argumentation,3,58.28,79.59,7
P047,Baseline workflow,Paper argumentation,4,70.62,73.46,4
P048,Light-assisted workflow,Literature mapping,0,54.05,80.84,4
P048,Light-assisted workflow,Literature mapping,1,50.06,77.23,6
P048,Light-assisted workflow,Literature mapping,2,64.71,61.86,0
P048,Light-assisted workflow,Literature mapping,3,72.34,58.83,2
P048,Light-assisted workflow,Literature mapping,4,78.01,52.87,1
P048,Light-assisted workflow,Experiment reproduction,0,46.09,86.14,2
P048,Light-assisted workflow,Experiment reproduction,1,46.8,88.52,4
P048,Light-assisted workflow,Experiment reproduction,2,58.15,80.85,3
P048,Light-assisted workflow,Experiment reproduction,3,60.48,88.48,2
P048,Light-assisted workflow,Experiment reproduction,4,62.57,66.81,2
P048,Light-assisted workflow,Paper argumentation,0,54.35,91.98,5
P048,Light-assisted workflow,Paper argumentation,1,55.4,85.49,1
P048,Light-assisted workflow,Paper argumentation,2,60.33,78.43,0
P048,Light-assisted workflow,Paper argumentation,3,67.96,76.18,2
P048,Light-assisted workflow,Paper argumentation,4,74.43,65.98,3
P049,Baseline workflow,Literature mapping,0,54.72,83.91,3
P049,Baseline workflow,Literature mapping,1,56.41,73.55,3
P049,Baseline workflow,Literature mapping,2,64.73,60.11,0
P049,Baseline workflow,Literature mapping,3,71.73,59.49,3
P049,Baseline workflow,Literature mapping,4,67.95,59.81,0
P049,Baseline workflow,Experiment reproduction,0,42.52,97.83,4
P049,Baseline workflow,Experiment reproduction,1,45.79,99.11,4
P049,Baseline workflow,Experiment reproduction,2,44.81,86.99,7
P049,Baseline workflow,Experiment reproduction,3,62.78,72.27,5
P049,Baseline workflow,Experiment reproduction,4,54.6,78.07,2
P049,Baseline workflow,Paper argumentation,0,51.41,74.3,4
P049,Baseline workflow,Paper argumentation,1,55.45,80.29,3
P049,Baseline workflow,Paper argumentation,2,58.4,72.08,0
P049,Baseline workflow,Paper argumentation,3,59.6,78.86,1
P049,Baseline workflow,Paper argumentation,4,66.49,71.5,0
P050,Baseline workflow,Literature mapping,0,60.89,70.16,2
P050,Baseline workflow,Literature mapping,1,64.56,66.37,3
P050,Baseline workflow,Literature mapping,2,74.26,63.53,5
P050,Baseline workflow,Literature mapping,3,78.69,60.14,3
P050,Baseline workflow,Literature mapping,4,78.69,57.25,2
P050,Baseline workflow,Experiment reproduction,0,57.69,99.51,6
P050,Baseline workflow,Experiment reproduction,1,57.98,88.72,7
P050,Baseline workflow,Experiment reproduction,2,60.66,98.1,5
P050,Baseline workflow,Experiment reproduction,3,63.38,87.98,3
P050,Baseline workflow,Experiment reproduction,4,73.18,78.36,1
P050,Baseline workflow,Paper argumentation,0,57.28,92.12,3
P050,Baseline workflow,Paper argumentation,1,61.42,73.26,3
P050,Baseline workflow,Paper argumentation,2,68.65,78.95,5
P050,Baseline workflow,Paper argumentation,3,81.07,73.49,4
P050,Baseline workflow,Paper argumentation,4,73.53,80.13,1
P051,Light-assisted workflow,Literature mapping,0,62.25,76.84,5
P051,Light-assisted workflow,Literature mapping,1,63.17,64.85,1
P051,Light-assisted workflow,Literature mapping,2,74.47,64.31,2
P051,Light-assisted workflow,Literature mapping,3,76.04,46.22,2
P051,Light-assisted workflow,Literature mapping,4,79.47,56.86,6
P051,Light-assisted workflow,Experiment reproduction,0,52.03,90.05,6
P051,Light-assisted workflow,Experiment reproduction,1,59.25,84.84,4
P051,Light-assisted workflow,Experiment reproduction,2,61.09,80.21,4
P051,Light-assisted workflow,Experiment reproduction,3,72.58,72.2,2
P051,Light-assisted workflow,Experiment reproduction,4,78.29,69.72,2
P051,Light-assisted workflow,Paper argumentation,0,65.3,83.11,2
P051,Light-assisted workflow,Paper argumentation,1,64.76,77.63,4
P051,Light-assisted workflow,Paper argumentation,2,79.03,70.26,4
P051,Light-assisted workflow,Paper argumentation,3,75.24,67.03,0
P051,Light-assisted workflow,Paper argumentation,4,83.03,66.44,1
P052,Light-assisted workflow,Literature mapping,0,57.32,75.04,1
P052,Light-assisted workflow,Literature mapping,1,55.76,69.21,4
P052,Light-assisted workflow,Literature mapping,2,73.29,59.0,3
P052,Light-assisted workflow,Literature mapping,3,67.21,54.8,5
P052,Light-assisted workflow,Literature mapping,4,83.32,43.6,3
P052,Light-assisted workflow,Experiment reproduction,0,52.8,95.46,5
P052,Light-assisted workflow,Experiment reproduction,1,55.33,97.29,3
P052,Light-assisted workflow,Experiment reproduction,2,60.84,84.32,3
P052,Light-assisted workflow,Experiment reproduction,3,67.09,84.5,1
P052,Light-assisted workflow,Experiment reproduction,4,74.39,70.45,3
P052,Light-assisted workflow,Paper argumentation,0,55.15,81.51,3
P052,Light-assisted workflow,Paper argumentation,1,59.58,82.29,2
P052,Light-assisted workflow,Paper argumentation,2,58.35,81.55,6
P052,Light-assisted workflow,Paper argumentation,3,65.6,58.09,4
P052,Light-assisted workflow,Paper argumentation,4,66.19,68.17,4
P053,Light-assisted workflow,Literature mapping,0,52.77,67.62,3
P053,Light-assisted workflow,Literature mapping,1,58.42,61.12,2
P053,Light-assisted workflow,Literature mapping,2,61.76,58.24,2
P053,Light-assisted workflow,Literature mapping,3,73.97,42.95,6
P053,Light-assisted workflow,Literature mapping,4,75.68,55.58,2
P053,Light-assisted workflow,Experiment reproduction,0,52.87,97.47,1
P053,Light-assisted workflow,Experiment reproduction,1,53.85,90.39,5
P053,Light-assisted workflow,Experiment reproduction,2,60.81,77.46,3
P053,Light-assisted workflow,Experiment reproduction,3,72.83,80.26,1
P053,Light-assisted workflow,Experiment reproduction,4,82.46,74.0,0
P053,Light-assisted workflow,Paper argumentation,0,53.51,97.99,1
P053,Light-assisted workflow,Paper argumentation,1,58.89,80.42,3
P053,Light-assisted workflow,Paper argumentation,2,63.76,84.72,2
P053,Light-assisted workflow,Paper argumentation,3,66.1,65.44,1
P053,Light-assisted workflow,Paper argumentation,4,70.65,65.29,3
P054,Light-assisted workflow,Literature mapping,0,55.13,79.01,4
P054,Light-assisted workflow,Literature mapping,1,63.49,68.67,1
P054,Light-assisted workflow,Literature mapping,2,62.36,68.06,2
P054,Light-assisted workflow,Literature mapping,3,68.8,48.41,4
P054,Light-assisted workflow,Literature mapping,4,75.46,56.96,2
P054,Light-assisted workflow,Experiment reproduction,0,44.83,83.87,6
P054,Light-assisted workflow,Experiment reproduction,1,54.36,98.67,6
P054,Light-assisted workflow,Experiment reproduction,2,51.6,82.21,2
P054,Light-assisted workflow,Experiment reproduction,3,56.27,74.24,1
P054,Light-assisted workflow,Experiment reproduction,4,67.52,76.43,3
P054,Light-assisted workflow,Paper argumentation,0,52.27,91.11,4
P054,Light-assisted workflow,Paper argumentation,1,53.34,84.31,1
P054,Light-assisted workflow,Paper argumentation,2,59.99,68.47,7
P054,Light-assisted workflow,Paper argumentation,3,60.01,70.52,4
P054,Light-assisted workflow,Paper argumentation,4,63.79,71.46,1
P055,Light-assisted workflow,Literature mapping,0,61.79,71.39,5
P055,Light-assisted workflow,Literature mapping,1,60.81,64.35,3
P055,Light-assisted workflow,Literature mapping,2,67.14,67.35,0
P055,Light-assisted workflow,Literature mapping,3,86.02,63.09,6
P055,Light-assisted workflow,Literature mapping,4,78.78,54.27,4
P055,Light-assisted workflow,Experiment reproduction,0,58.22,107.18,7
P055,Light-assisted workflow,Experiment reproduction,1,62.19,89.18,4
P055,Light-assisted workflow,Experiment reproduction,2,70.19,84.38,3
P055,Light-assisted workflow,Experiment reproduction,3,68.3,83.07,3
P055,Light-assisted workflow,Experiment reproduction,4,79.4,79.33,2
P055,Light-assisted workflow,Paper argumentation,0,64.73,79.05,2
P055,Light-assisted workflow,Paper argumentation,1,62.64,81.22,4
P055,Light-assisted workflow,Paper argumentation,2,78.32,75.99,4
P055,Light-assisted workflow,Paper argumentation,3,74.02,78.37,1
P055,Light-assisted workflow,Paper argumentation,4,79.37,76.01,1
P056,Light-assisted workflow,Literature mapping,0,55.65,72.77,4
P056,Light-assisted workflow,Literature mapping,1,62.42,76.48,3
P056,Light-assisted workflow,Literature mapping,2,70.19,66.98,3
P056,Light-assisted workflow,Literature mapping,3,74.3,63.93,2
P056,Light-assisted workflow,Literature mapping,4,82.41,47.91,1
P056,Light-assisted workflow,Experiment reproduction,0,61.44,106.35,1
P056,Light-assisted workflow,Experiment reproduction,1,61.14,92.52,3
P056,Light-assisted workflow,Experiment reproduction,2,61.82,78.28,2
P056,Light-assisted workflow,Experiment reproduction,3,65.15,76.23,3
P056,Light-assisted workflow,Experiment reproduction,4,77.57,88.71,0
P056,Light-assisted workflow,Paper argumentation,0,48.66,87.08,4
P056,Light-assisted workflow,Paper argumentation,1,60.46,76.28,2
P056,Light-assisted workflow,Paper argumentation,2,54.86,81.07,1
P056,Light-assisted workflow,Paper argumentation,3,65.2,65.4,1
P056,Light-assisted workflow,Paper argumentation,4,82.5,58.95,2
P057,Light-assisted workflow,Literature mapping,0,58.75,76.86,2
P057,Light-assisted workflow,Literature mapping,1,63.71,76.7,3
P057,Light-assisted workflow,Literature mapping,2,67.87,77.67,1
P057,Light-assisted workflow,Literature mapping,3,68.7,72.14,3
P057,Light-assisted workflow,Literature mapping,4,79.01,62.61,3
P057,Light-assisted workflow,Experiment reproduction,0,50.05,104.31,4
P057,Light-assisted workflow,Experiment reproduction,1,56.76,80.13,2
P057,Light-assisted workflow,Experiment reproduction,2,63.8,80.83,0
P057,Light-assisted workflow,Experiment reproduction,3,61.7,76.78,0
P057,Light-assisted workflow,Experiment reproduction,4,64.37,72.04,0
P057,Light-assisted workflow,Paper argumentation,0,47.03,80.46,3
P057,Light-assisted workflow,Paper argumentation,1,50.55,70.23,5
P057,Light-assisted workflow,Paper argumentation,2,58.74,89.11,2
P057,Light-assisted workflow,Paper argumentation,3,55.13,68.95,3
P057,Light-assisted workflow,Paper argumentation,4,75.07,68.33,4
P058,Light-assisted workflow,Literature mapping,0,64.5,73.05,2
P058,Light-assisted workflow,Literature mapping,1,69.01,76.19,4
P058,Light-assisted workflow,Literature mapping,2,76.49,61.25,2
P058,Light-assisted workflow,Literature mapping,3,79.2,61.37,4
P058,Light-assisted workflow,Literature mapping,4,89.22,50.57,1
P058,Light-assisted workflow,Experiment reproduction,0,47.22,103.82,3
P058,Light-assisted workflow,Experiment reproduction,1,58.74,83.9,1
P058,Light-assisted workflow,Experiment reproduction,2,60.94,87.47,4
P058,Light-assisted workflow,Experiment reproduction,3,72.2,71.76,1
P058,Light-assisted workflow,Experiment reproduction,4,80.81,69.17,5
P058,Light-assisted workflow,Paper argumentation,0,58.85,92.14,8
P058,Light-assisted workflow,Paper argumentation,1,61.59,71.62,4
P058,Light-assisted workflow,Paper argumentation,2,67.2,67.88,5
